num_rows,num_cols,exec_func_exec_time,comp_op_time,overall_comp_exec_time,dataframe_size_mb
1,30,0.0520503521,0.0011107922,0.0534336567,0.0004062652587890625
5,30,0.0488455296,0.0010063648,0.0500836372,0.0016384124755859375
10,30,0.0465159416,0.0010323524,0.0478003025,0.00321197509765625
50,30,0.0468156338,0.0010993481,0.0481426716,0.01290130615234375
100,30,0.0463809967,0.0010819435,0.0476849079,0.02358245849609375
500,30,0.045933485,0.0009996891,0.0471527576,0.137451171875
1000,30,0.0475537777,0.0012118816,0.0490121841,0.2900390625
5000,30,0.0499351025,0.0012450218,0.051410675,1.4210968017578125
10000,30,0.0479207039,0.0010492802,0.0491921902,2.956512451171875
50000,30,0.0980534554,0.0010905266,0.0993747711,12.874725341796875
100000,30,0.1712882519,0.0018525124,0.1734850407,25.36785888671875
500000,30,0.3838663101,0.0020210743,0.3862757683,145.91229248046875
1000000,30,0.4861085415,0.0033016205,0.4899008274,286.1024169921875
1,30,0.0474274158,0.0009088516,0.0485420227,0.00043487548828125
5,30,0.0458083153,0.0009822845,0.0470373631,0.0017337799072265625
10,30,0.0467464924,0.0010042191,0.0479860306,0.002964019775390625
50,30,0.0476505756,0.0010678768,0.0489318371,0.0119476318359375
100,30,0.0447301865,0.0010447502,0.045981884,0.02777862548828125
500,30,0.0449876785,0.001060009,0.0462670326,0.17273712158203125
1000,30,0.0441358089,0.0009064674,0.0452458858,0.293853759765625
5000,30,0.0551578999,0.0011758804,0.0565443039,1.4020233154296875
10000,30,0.0608961582,0.0010097027,0.062112093,2.78485107421875
50000,30,0.0489714146,0.0009856224,0.0501708984,11.82568359375
100000,30,0.0786440372,0.0009179115,0.079890728,29.94549560546875
500000,30,0.3276486397,0.0016491413,0.3296210766,139.236572265625
1000000,30,1.4962418079,0.0029587746,1.4997549057,314.712646484375
1,30,0.0519919395,0.0007841587,0.0531387329,0.000415802001953125
5,30,0.0502712727,0.0008780956,0.0514764786,0.0013427734375
10,30,0.0449817181,0.000954628,0.046173811,0.00366973876953125
50,30,0.0486853123,0.0012652874,0.0503559113,0.015285491943359375
100,30,0.0451459885,0.0009710789,0.0463986397,0.0241546630859375
500,30,0.048148632,0.0010995865,0.0494742393,0.13649749755859375
1000,30,0.0453438759,0.0009946823,0.0465466976,0.301483154296875
5000,30,0.0459690094,0.0012192726,0.0473957062,1.14453125
10000,30,0.0502631664,0.0016922951,0.0521802902,2.880218505859375
50000,30,0.0499742031,0.0011036396,0.0512855053,13.828399658203125
100000,30,0.0899405479,0.0014109612,0.0916352272,23.46051025390625
500000,30,0.401348114,0.0017135143,0.4033226967,139.236572265625
1000000,30,1.0648491383,0.0058956146,1.071366787,261.306884765625
