Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5024502277374268
0,1,daphneMap,f64,100,Memory Consumption,110.21875
0,1,daphneMap,f64,100,Average CPU Load,20.5
0,1,daphneMap,f64,1000,Execution Time,1.5025429725646973
0,1,daphneMap,f64,1000,Memory Consumption,126.26171875
0,1,daphneMap,f64,1000,Average CPU Load,16.1
0,1,daphneMap,f64,2896,Execution Time,4.506351470947266
0,1,daphneMap,f64,2896,Memory Consumption,239.9296875
0,1,daphneMap,f64,2896,Average CPU Load,15.533333333333333
0,1,daphneMap,f64,5792,Execution Time,16.52164578437805
0,1,daphneMap,f64,5792,Memory Consumption,623.63671875
0,1,daphneMap,f64,5792,Average CPU Load,12.98181818181818
0,4,daphneMap,f64,100,Execution Time,1.502598524093628
0,4,daphneMap,f64,100,Memory Consumption,112.37890625
0,4,daphneMap,f64,100,Average CPU Load,20.6
0,4,daphneMap,f64,1000,Execution Time,1.5024139881134033
0,4,daphneMap,f64,1000,Memory Consumption,127.55078125
0,4,daphneMap,f64,1000,Average CPU Load,16.9
0,4,daphneMap,f64,2896,Execution Time,6.008380651473999
0,4,daphneMap,f64,2896,Memory Consumption,239.25
0,4,daphneMap,f64,2896,Average CPU Load,11.775
0,4,daphneMap,f64,5792,Execution Time,18.023955583572388
0,4,daphneMap,f64,5792,Memory Consumption,624.1171875
0,4,daphneMap,f64,5792,Average CPU Load,13.749999999999998
0,5,daphneMap,f64,100,Execution Time,1.5024895668029785
0,5,daphneMap,f64,100,Memory Consumption,111.18359375
0,5,daphneMap,f64,100,Average CPU Load,20.7
0,5,daphneMap,f64,1000,Execution Time,1.5025196075439453
0,5,daphneMap,f64,1000,Memory Consumption,126.46484375
0,5,daphneMap,f64,1000,Average CPU Load,19.4
0,5,daphneMap,f64,2896,Execution Time,7.510165452957153
0,5,daphneMap,f64,2896,Memory Consumption,240.8046875
0,5,daphneMap,f64,2896,Average CPU Load,12.38
0,5,daphneMap,f64,5792,Execution Time,24.031330347061157
0,5,daphneMap,f64,5792,Memory Consumption,625.078125
0,5,daphneMap,f64,5792,Average CPU Load,13.406250000000002
0,1,daphneMap,int64,100,Execution Time,1.5024607181549072
0,1,daphneMap,int64,100,Memory Consumption,111.6484375
0,1,daphneMap,int64,100,Average CPU Load,20.2
0,1,daphneMap,int64,1000,Execution Time,1.5024778842926025
0,1,daphneMap,int64,1000,Memory Consumption,125.80859375
0,1,daphneMap,int64,1000,Average CPU Load,16.2
0,1,daphneMap,int64,2896,Execution Time,4.506511211395264
0,1,daphneMap,int64,2896,Memory Consumption,238.5234375
0,1,daphneMap,int64,2896,Average CPU Load,15.533333333333337
0,1,daphneMap,int64,5792,Execution Time,16.521891355514526
0,1,daphneMap,int64,5792,Memory Consumption,624.25
0,1,daphneMap,int64,5792,Average CPU Load,13.172727272727274
0,4,daphneMap,int64,100,Execution Time,1.5025651454925537
0,4,daphneMap,int64,100,Memory Consumption,113.17578125
0,4,daphneMap,int64,100,Average CPU Load,20.0
0,4,daphneMap,int64,1000,Execution Time,1.502411127090454
0,4,daphneMap,int64,1000,Memory Consumption,127.26953125
0,4,daphneMap,int64,1000,Average CPU Load,17.5
0,4,daphneMap,int64,2896,Execution Time,6.008178949356079
0,4,daphneMap,int64,2896,Memory Consumption,240.3046875
0,4,daphneMap,int64,2896,Average CPU Load,12.575000000000001
0,4,daphneMap,int64,5792,Execution Time,19.525151252746582
0,4,daphneMap,int64,5792,Memory Consumption,625.39453125
0,4,daphneMap,int64,5792,Average CPU Load,12.953846153846154
0,5,daphneMap,int64,100,Execution Time,1.50250244140625
0,5,daphneMap,int64,100,Memory Consumption,111.9296875
0,5,daphneMap,int64,100,Average CPU Load,20.9
0,5,daphneMap,int64,1000,Execution Time,1.5025825500488281
0,5,daphneMap,int64,1000,Memory Consumption,127.31640625
0,5,daphneMap,int64,1000,Average CPU Load,19.7
0,5,daphneMap,int64,2896,Execution Time,7.51053524017334
0,5,daphneMap,int64,2896,Memory Consumption,240.75390625
0,5,daphneMap,int64,2896,Average CPU Load,12.400000000000002
0,5,daphneMap,int64,5792,Execution Time,25.533620834350586
0,5,daphneMap,int64,5792,Memory Consumption,625.40625
0,5,daphneMap,int64,5792,Average CPU Load,13.229411764705882
0,9,daphneMap,int64,100,Execution Time,1.5026381015777588
0,9,daphneMap,int64,100,Memory Consumption,114.14453125
0,9,daphneMap,int64,100,Average CPU Load,21.0
0,9,daphneMap,int64,1000,Execution Time,1.5025250911712646
0,9,daphneMap,int64,1000,Memory Consumption,128.36328125
0,9,daphneMap,int64,1000,Average CPU Load,17.6
0,9,daphneMap,int64,2896,Execution Time,6.008437633514404
0,9,daphneMap,int64,2896,Memory Consumption,240.78515625
0,9,daphneMap,int64,2896,Average CPU Load,13.225
0,9,daphneMap,int64,5792,Execution Time,19.52502965927124
0,9,daphneMap,int64,5792,Memory Consumption,625.3984375
0,9,daphneMap,int64,5792,Average CPU Load,13.715384615384618
0,10,daphneMap,int64,100,Execution Time,1.502631425857544
0,10,daphneMap,int64,100,Memory Consumption,113.140625
0,10,daphneMap,int64,100,Average CPU Load,20.9
0,10,daphneMap,int64,1000,Execution Time,1.5024964809417725
0,10,daphneMap,int64,1000,Memory Consumption,128.13671875
0,10,daphneMap,int64,1000,Average CPU Load,18.2
0,10,daphneMap,int64,2896,Execution Time,6.00822377204895
0,10,daphneMap,int64,2896,Memory Consumption,240.6953125
0,10,daphneMap,int64,2896,Average CPU Load,14.225000000000001
0,10,daphneMap,int64,5792,Execution Time,22.529699325561523
0,10,daphneMap,int64,5792,Memory Consumption,623.20703125
0,10,daphneMap,int64,5792,Average CPU Load,12.546666666666669
0,1,daphneInternal,f64,100,Execution Time,1.5025320053100586
0,1,daphneInternal,f64,100,Memory Consumption,110.8984375
0,1,daphneInternal,f64,100,Average CPU Load,16.8
0,1,daphneInternal,f64,1000,Execution Time,1.50258207321167
0,1,daphneInternal,f64,1000,Memory Consumption,118.515625
0,1,daphneInternal,f64,1000,Average CPU Load,21.0
0,1,daphneInternal,f64,2896,Execution Time,1.5025551319122314
0,1,daphneInternal,f64,2896,Memory Consumption,225.0078125
0,1,daphneInternal,f64,2896,Average CPU Load,13.1
0,1,daphneInternal,f64,5792,Execution Time,1.5026085376739502
0,1,daphneInternal,f64,5792,Memory Consumption,581.234375
0,1,daphneInternal,f64,5792,Average CPU Load,21.2
0,1,daphneInternal,int64,100,Execution Time,1.5027036666870117
0,1,daphneInternal,int64,100,Memory Consumption,110.64453125
0,1,daphneInternal,int64,100,Average CPU Load,16.1
0,1,daphneInternal,int64,1000,Execution Time,1.5026154518127441
0,1,daphneInternal,int64,1000,Memory Consumption,123.9140625
0,1,daphneInternal,int64,1000,Average CPU Load,21.3
0,1,daphneInternal,int64,2896,Execution Time,1.502586841583252
0,1,daphneInternal,int64,2896,Memory Consumption,239.31640625
0,1,daphneInternal,int64,2896,Average CPU Load,14.4
0,1,daphneInternal,int64,5792,Execution Time,1.5026226043701172
0,1,daphneInternal,int64,5792,Memory Consumption,504.171875
0,1,daphneInternal,int64,5792,Average CPU Load,21.6
0,4,daphneInternal,int64,100,Execution Time,1.5025451183319092
0,4,daphneInternal,int64,100,Memory Consumption,111.0390625
0,4,daphneInternal,int64,100,Average CPU Load,17.3
0,4,daphneInternal,int64,1000,Execution Time,1.5025994777679443
0,4,daphneInternal,int64,1000,Memory Consumption,126.20703125
0,4,daphneInternal,int64,1000,Average CPU Load,22.4
0,4,daphneInternal,int64,2896,Execution Time,1.5025312900543213
0,4,daphneInternal,int64,2896,Memory Consumption,234.15234375
0,4,daphneInternal,int64,2896,Average CPU Load,18.9
0,4,daphneInternal,int64,5792,Execution Time,3.00443434715271
0,4,daphneInternal,int64,5792,Memory Consumption,623.64453125
0,4,daphneInternal,int64,5792,Average CPU Load,17.1
0,5,daphneInternal,int64,100,Execution Time,1.502516508102417
0,5,daphneInternal,int64,100,Memory Consumption,110.55859375
0,5,daphneInternal,int64,100,Average CPU Load,18.1
0,5,daphneInternal,int64,1000,Execution Time,1.5025391578674316
0,5,daphneInternal,int64,1000,Memory Consumption,138.0
0,5,daphneInternal,int64,1000,Average CPU Load,12.8
0,5,daphneInternal,int64,2896,Execution Time,3.0047810077667236
0,5,daphneInternal,int64,2896,Memory Consumption,323.4921875
0,5,daphneInternal,int64,2896,Average CPU Load,14.75
0,5,daphneInternal,int64,5792,Execution Time,9.012108325958252
0,5,daphneInternal,int64,5792,Memory Consumption,1104.58203125
0,5,daphneInternal,int64,5792,Average CPU Load,13.333333333333334
