Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,100,Execution Time,1.5028576850891113
0,1,daphneMap,f64,100,Memory Consumption,168.69921875
0,1,daphneMap,f64,100,Average CPU Load,31.1
0,1,daphneMap,f64,1000,Execution Time,1.5034706592559814
0,1,daphneMap,f64,1000,Memory Consumption,182.0
0,1,daphneMap,f64,1000,Average CPU Load,29.3
0,1,daphneMap,f64,2896,Execution Time,4.508589267730713
0,1,daphneMap,f64,2896,Memory Consumption,287.67578125
0,1,daphneMap,f64,2896,Average CPU Load,19.066666666666666
0,1,daphneMap,f64,5792,Execution Time,13.518685817718506
0,1,daphneMap,f64,5792,Memory Consumption,681.16015625
0,1,daphneMap,f64,5792,Average CPU Load,14.966666666666669
0,4,daphneMap,f64,100,Execution Time,1.5029397010803223
0,4,daphneMap,f64,100,Memory Consumption,161.359375
0,4,daphneMap,f64,100,Average CPU Load,25.0
0,4,daphneMap,f64,1000,Execution Time,1.505281686782837
0,4,daphneMap,f64,1000,Memory Consumption,177.5078125
0,4,daphneMap,f64,1000,Average CPU Load,20.6
0,4,daphneMap,f64,2896,Execution Time,4.507150650024414
0,4,daphneMap,f64,2896,Memory Consumption,289.87109375
0,4,daphneMap,f64,2896,Average CPU Load,16.0
0,4,daphneMap,f64,5792,Execution Time,15.019410848617554
0,4,daphneMap,f64,5792,Memory Consumption,680.91015625
0,4,daphneMap,f64,5792,Average CPU Load,14.219999999999999
0,5,daphneMap,f64,100,Execution Time,1.5029122829437256
0,5,daphneMap,f64,100,Memory Consumption,167.74609375
0,5,daphneMap,f64,100,Average CPU Load,27.9
0,5,daphneMap,f64,1000,Execution Time,1.5052049160003662
0,5,daphneMap,f64,1000,Memory Consumption,175.9609375
0,5,daphneMap,f64,1000,Average CPU Load,24.1
0,5,daphneMap,f64,2896,Execution Time,6.009734869003296
0,5,daphneMap,f64,2896,Memory Consumption,293.78125
0,5,daphneMap,f64,2896,Average CPU Load,15.250000000000002
0,5,daphneMap,f64,5792,Execution Time,21.029823303222656
0,5,daphneMap,f64,5792,Memory Consumption,676.73828125
0,5,daphneMap,f64,5792,Average CPU Load,14.164285714285713
