Run,Operation,Implementation,Datatype,Matrix Size,MetricType,Value
0,1,daphneMap,f64,2896,Execution Time,6.010287761688232
0,1,daphneMap,f64,2896,Memory Consumption,239.29296875
0,1,daphneMap,f64,2896,Average CPU Load,28.225
0,10,daphneMap,f64,2896,Execution Time,7.514200448989868
0,10,daphneMap,f64,2896,Memory Consumption,240.24609375
0,10,daphneMap,f64,2896,Average CPU Load,28.919999999999998
0,5,daphneMap,f64,2896,Execution Time,9.013030529022217
0,5,daphneMap,f64,2896,Memory Consumption,240.5
0,5,daphneMap,f64,2896,Average CPU Load,27.53333333333333
0,1,daphneMap,f32,4096,Execution Time,10.515384435653687
0,1,daphneMap,f32,4096,Memory Consumption,240.54296875
0,1,daphneMap,f32,4096,Average CPU Load,28.000000000000004
0,10,daphneMap,f32,4096,Execution Time,15.024686336517334
0,10,daphneMap,f32,4096,Memory Consumption,241.0078125
0,10,daphneMap,f32,4096,Average CPU Load,23.799999999999997
0,5,daphneMap,f32,4096,Execution Time,16.524802923202515
0,5,daphneMap,f32,4096,Memory Consumption,240.67578125
0,5,daphneMap,f32,4096,Average CPU Load,27.954545454545453
0,1,daphneMap,int64,2896,Execution Time,6.010526657104492
0,1,daphneMap,int64,2896,Memory Consumption,239.5703125
0,1,daphneMap,int64,2896,Average CPU Load,28.4
0,10,daphneMap,int64,2896,Execution Time,7.511134386062622
0,10,daphneMap,int64,2896,Memory Consumption,240.48828125
0,10,daphneMap,int64,2896,Average CPU Load,29.0
0,5,daphneMap,int64,2896,Execution Time,9.014823913574219
0,5,daphneMap,int64,2896,Memory Consumption,239.828125
0,5,daphneMap,int64,2896,Average CPU Load,27.36666666666667
0,1,daphneMap,int32,4096,Execution Time,12.01761531829834
0,1,daphneMap,int32,4096,Memory Consumption,261.0390625
0,1,daphneMap,int32,4096,Average CPU Load,26.5375
0,10,daphneMap,int32,4096,Execution Time,15.02381944656372
0,10,daphneMap,int32,4096,Memory Consumption,283.98046875
0,10,daphneMap,int32,4096,Average CPU Load,27.649999999999995
0,5,daphneMap,int32,4096,Execution Time,16.523041486740112
0,5,daphneMap,int32,4096,Memory Consumption,251.64453125
0,5,daphneMap,int32,4096,Average CPU Load,28.254545454545454
0,1,daphneMap,int8,8192,Execution Time,40.55916452407837
0,1,daphneMap,int8,8192,Memory Consumption,649.5
0,1,daphneMap,int8,8192,Average CPU Load,28.04814814814815
0,10,daphneMap,int8,8192,Execution Time,55.577611207962036
0,10,daphneMap,int8,8192,Memory Consumption,665.9375
0,10,daphneMap,int8,8192,Average CPU Load,27.262162162162156
0,5,daphneMap,int8,8192,Execution Time,63.09024000167847
0,5,daphneMap,int8,8192,Memory Consumption,688.35546875
0,5,daphneMap,int8,8192,Average CPU Load,27.93095238095238
0,1,daphneMap,uint64,2896,Execution Time,6.009981393814087
0,1,daphneMap,uint64,2896,Memory Consumption,239.5234375
0,1,daphneMap,uint64,2896,Average CPU Load,28.299999999999997
0,10,daphneMap,uint64,2896,Execution Time,7.512453556060791
0,10,daphneMap,uint64,2896,Memory Consumption,240.1015625
0,10,daphneMap,uint64,2896,Average CPU Load,29.360000000000003
0,5,daphneMap,uint64,2896,Execution Time,9.016739845275879
0,5,daphneMap,uint64,2896,Memory Consumption,240.20703125
0,5,daphneMap,uint64,2896,Average CPU Load,28.483333333333334
0,1,daphneMap,uint8,8192,Execution Time,40.555620193481445
0,1,daphneMap,uint8,8192,Memory Consumption,240.015625
0,1,daphneMap,uint8,8192,Average CPU Load,27.16666666666666
0,10,daphneMap,uint8,8192,Execution Time,52.57574725151062
0,10,daphneMap,uint8,8192,Memory Consumption,241.05078125
0,10,daphneMap,uint8,8192,Average CPU Load,27.762857142857133
0,5,daphneMap,uint8,8192,Execution Time,61.590253591537476
0,5,daphneMap,uint8,8192,Memory Consumption,241.15625
0,5,daphneMap,uint8,8192,Average CPU Load,28.273170731707317
